SYMBOL,DATE,qnty_per_trade,avg_qnty_per_trade,deliv_qty,avg_deliv_qty,trade_qty_deviation,delivery_qty_deviation,F&O,NIFTY_500,ROC_RS_7,ROC_RS_14,AD_Count,DD_Count,NA_Count,vwap_positive_7days,vwap_negative_7days,vwap_positive_14days,vwap_negative_14days
360ONE,2024-12-20,27,13.0,910278,368109.0,94.0,147.0,N,Y,8.384458,12.05074,9,1,15,4,3,7,7
3IINFOLTD,2024-12-20,153,167.0,355637,433348.0,-8.0,-17.0,N,N,-7.692308,0.0,7,4,14,2,5,5,8
3MINDIA,2024-12-20,1,2.0,2242,2945.0,-21.0,-23.0,N,Y,1.895328,2.73671,4,5,16,3,4,7,7
5PAISA,2024-12-20,10,13.0,17867,14638.0,-19.0,22.0,N,N,-0.985222,-1.470588,3,7,15,1,6,4,10
63MOONS,2024-12-20,40,81.0,484328,392532.0,-50.0,23.0,N,N,17.183099,44.444444,10,2,13,2,3,8,4
A2ZINFRA,2024-12-20,581,529.0,818721,673779.0,9.0,21.0,N,N,12.5,28.571429,8,4,13,4,3,8,6
AAATECH,2024-12-20,15,28.0,14244,11878.0,-44.0,19.0,N,N,-4.347826,-6.382979,5,7,13,0,7,2,12
AADHARHFC,2024-12-20,27,34.0,279503,271050.0,-21.0,3.0,N,Y,1.694915,1.123596,7,4,14,4,3,5,9
AAKASH,2024-12-20,249,207.0,138400,128053.0,19.0,8.0,N,N,0.0,-20.0,4,10,11,0,7,2,11
AARON,2024-12-20,17,19.0,12557,14741.0,-10.0,-14.0,N,N,5.0,13.076923,8,4,13,2,5,4,10
AARTECH,2024-12-20,235,93.0,368053,121490.0,153.0,202.0,N,N,9.375,2.941176,10,3,12,4,3,5,9
AARTIDRUGS,2024-12-20,13,14.0,65360,57503.0,-5.0,13.0,N,N,0.0,-3.703704,4,5,16,2,5,4,10
AARTIIND,2024-12-20,37,47.0,917249,493457.0,-22.0,85.0,Y,Y,-3.932584,-6.043956,5,7,13,3,4,5,9
AARTIPHARM,2024-12-20,14,16.0,166467,150339.0,-15.0,10.0,N,N,-1.22449,-10.037175,5,8,12,1,6,3,11
AARVI,2024-12-20,28,32.0,3303,9110.0,-12.0,-63.0,N,N,-3.278689,0.0,5,4,16,3,4,4,10
AAVAS,2024-12-20,31,14.0,300954,106159.0,110.0,183.0,N,Y,3.216374,2.915452,4,5,16,4,3,8,6
ABAN,2024-12-20,35,44.0,39684,61124.0,-19.0,-35.0,N,N,-3.571429,3.846154,6,4,15,0,7,2,12
ABB,2024-12-20,7,7.0,210599,123053.0,3.0,71.0,Y,Y,-5.931388,-4.802077,8,4,13,2,5,6,8
ABBOTINDIA,2024-12-20,1,2.0,6485,3316.0,-16.0,95.0,Y,Y,3.740073,4.47158,3,6,16,3,4,7,7
ABCAPITAL,2024-12-20,82,102.0,1396243,1322984.0,-20.0,5.0,Y,Y,-1.25,-3.658537,6,8,11,2,5,6,8
ABDL,2024-12-20,56,66.0,420030,555963.0,-14.0,-24.0,N,N,8.609272,16.312057,8,3,14,2,5,6,8
ABFRL,2024-12-20,79,103.0,819836,1081565.0,-22.0,-24.0,Y,Y,-3.225806,-6.976744,5,7,13,2,5,3,11
ABGSEC,2024-12-20,80,30.0,1016,293.0,164.0,245.0,N,N,2.325581,2.325581,3,4,18,1,6,6,8
ABREL,2024-12-20,6,7.0,59931,66528.0,-11.0,-9.0,N,Y,-1.328609,-4.54156,4,8,13,1,6,2,12
ABSLAMC,2024-12-20,18,14.0,341242,265289.0,26.0,28.0,N,Y,1.801802,-4.507042,5,4,16,1,6,1,13
ABSLBANETF,2024-12-20,29,394.0,11306,170941.0,-92.0,-93.0,N,N,0.0,0.0,8,4,13,2,5,6,7
ABSLLIQUID,2024-12-20,70,205.0,461,4132.0,-65.0,-88.0,N,N,4.176904,3.667482,0,0,25,3,3,4,5
ABSLNN50ET,2024-12-20,54,60.0,33833,24379.0,-10.0,38.0,N,N,-3.225806,0.0,6,5,14,3,4,7,6
ABSLPSE,2024-12-20,245,242.0,357635,199643.0,1.0,79.0,N,N,0.0,0.0,4,5,16,3,4,5,7
ACC,2024-12-20,11,14.0,123668,154836.0,-17.0,-20.0,Y,Y,-3.634361,-6.616862,4,6,15,2,5,4,10
ACCELYA,2024-12-20,5,6.0,5068,6004.0,-9.0,-15.0,N,N,-1.083591,-2.887538,6,6,13,2,5,6,8
