SYMBOL,DATE,qnty_per_trade,avg_qnty_per_trade,deliv_qty,avg_deliv_qty,trade_qty_deviation,delivery_qty_deviation,F&O,NIFTY_500,ROC_RS_7,ROC_RS_14,AD_Count,DD_Count,NA_Count,vwap_positive_7days,vwap_negative_7days,vwap_positive_14days,vwap_negative_14days
360ONE,2024-12-30,10,16.0,389416,415807.0,-35.0,-6.0,N,Y,,,8,1,16,8,1,13,3
3IINFOLTD,2024-12-30,116,166.0,124947,364860.0,-29.0,-65.0,N,N,,,7,4,14,0,9,2,14
3MINDIA,2024-12-30,1,1.0,1502,1866.0,-14.0,-19.0,N,Y,,,5,4,16,3,6,7,9
5PAISA,2024-12-30,12,11.0,19987,12200.0,5.0,63.0,N,N,,,3,7,15,2,7,4,12
63MOONS,2024-12-30,40,67.0,132596,313977.0,-40.0,-57.0,N,N,,,9,4,12,3,6,6,8
A2ZINFRA,2024-12-30,610,678.0,834935,945413.0,-9.0,-11.0,N,N,,,7,5,13,5,4,9,7
AAATECH,2024-12-30,25,21.0,7417,8469.0,20.0,-12.0,N,N,,,5,7,13,3,6,3,13
AADHARHFC,2024-12-30,19,30.0,238751,267422.0,-35.0,-10.0,N,Y,,,7,3,15,4,5,7,9
AAKASH,2024-12-30,127,187.0,58196,98150.0,-32.0,-40.0,N,N,,,4,10,11,0,9,1,15
AARON,2024-12-30,12,20.0,7253,18862.0,-40.0,-61.0,N,N,,,7,4,14,0,9,3,13
AARTECH,2024-12-30,74,85.0,55801,92694.0,-12.0,-39.0,N,N,,,9,3,13,3,6,5,11
AARTIDRUGS,2024-12-30,18,16.0,285239,107133.0,9.0,166.0,N,N,,,4,6,15,4,5,6,10
AARTIIND,2024-12-30,40,39.0,697032,505736.0,2.0,37.0,Y,Y,,,5,7,13,5,4,7,9
AARTIPHARM,2024-12-30,15,19.0,209327,320423.0,-19.0,-34.0,N,N,,,6,6,13,5,4,7,9
AARVI,2024-12-30,33,29.0,7763,8168.0,15.0,-4.0,N,N,,,5,4,16,2,7,4,12
AAVAS,2024-12-30,11,16.0,44337,126402.0,-33.0,-64.0,N,Y,,,4,4,17,7,2,12,4
ABAN,2024-12-30,33,34.0,30169,31077.0,-2.0,-2.0,N,N,,,5,6,14,0,9,0,16
ABB,2024-12-30,15,7.0,672437,85285.0,118.0,688.0,Y,Y,,,7,5,13,1,8,5,11
ABBOTINDIA,2024-12-30,2,2.0,8842,4264.0,-6.0,107.0,Y,Y,,,5,5,15,4,5,6,10
ABCAPITAL,2024-12-30,53,86.0,1165152,1032063.0,-38.0,12.0,Y,Y,,,6,8,11,1,8,4,12
ABDL,2024-12-30,83,63.0,924429,668228.0,31.0,38.0,N,N,,,10,3,12,5,4,7,9
ABFRL,2024-12-30,157,89.0,2192827,665929.0,76.0,229.0,Y,Y,,,4,6,15,4,5,5,11
ABGSEC,2024-12-30,5,38.0,62,495.0,-85.0,-87.0,N,N,,,4,4,17,3,6,5,11
ABREL,2024-12-30,6,8.0,88143,90642.0,-22.0,-2.0,N,Y,,,4,8,13,0,9,1,15
ABSLAMC,2024-12-30,11,14.0,288688,242890.0,-17.0,18.0,N,Y,,,4,4,17,4,5,5,11
ABSLBANETF,2024-12-30,153,135.0,72410,66832.0,12.0,8.0,N,N,,,8,5,12,2,7,3,12
ABSLLIQUID,2024-12-30,298,212.0,2827,4295.0,40.0,-34.0,N,N,,,0,0,25,5,3,8,4
ABSLNN50ET,2024-12-30,43,61.0,13625,24761.0,-30.0,-44.0,N,N,,,7,5,13,2,7,4,11
ABSLPSE,2024-12-30,271,207.0,514947,222879.0,30.0,131.0,N,N,,,3,6,16,3,6,5,10
ACC,2024-12-30,10,11.0,48952,115450.0,-10.0,-57.0,Y,Y,,,5,6,14,3,6,4,12
ACCELYA,2024-12-30,5,12.0,6868,14954.0,-55.0,-54.0,N,N,,,6,6,13,0,9,4,12
ACCURACY,2024-12-30,162,219.0,156352,270495.0,-26.0,-42.0,N,N,,,5,4,16,2,7,6,10
ACE,2024-12-30,15,13.0,308770,171581.0,16.0,79.0,N,Y,,,9,6,10,3,6,6,10
ACEINTEG,2024-12-30,41,29.0,5343,8022.0,43.0,-33.0,N,N,,,5,8,12,2,7,3,13
ACI,2024-12-30,7,15.0,64412,100740.0,-49.0,-36.0,N,Y,,,7,6,12,4,5,8,8
ACL,2024-12-30,31,33.0,13648,16203.0,-4.0,-15.0,N,N,,,6,2,17,2,7,3,13
ACLGATI,2024-12-30,54,64.0,82196,136873.0,-15.0,-39.0,N,N,,,4,7,14,2,7,4,12
ACMESOLAR,2024-12-30,47,52.0,246641,692032.0,-8.0,-64.0,N,N,,,7,5,13,3,6,5,11
ADANIENSOL,2024-12-30,46,34.0,3368255,786869.0,33.0,328.0,Y,Y,,,6,4,15,6,3,9,7
ADANIENT,2024-12-30,23,18.0,1380484,367390.0,27.0,275.0,Y,Y,,,7,5,13,4,5,6,10
ADANIGREEN,2024-12-30,41,30.0,3125743,1410254.0,34.0,121.0,Y,Y,,,5,4,16,3,6,4,12
ADANIPORTS,2024-12-30,61,27.0,5045942,849811.0,123.0,493.0,Y,Y,,,5,4,16,3,6,4,12
ADANIPOWER,2024-12-30,73,54.0,7042656,1150861.0,34.0,511.0,N,Y,,,5,4,16,3,6,3,13
ADFFOODS,2024-12-30,51,37.0,283339,93354.0,37.0,203.0,N,N,,,4,4,17,1,8,4,12
ADORWELD,2024-12-30,5,8.0,3558,11752.0,-31.0,-69.0,N,N,,,6,6,13,5,4,7,9
ADSL,2024-12-30,43,47.0,108661,108668.0,-7.0,0.0,N,N,,,6,7,12,0,9,1,15
ADVANIHOTR,2024-12-30,49,49.0,21662,46594.0,0.0,-53.0,N,N,,,6,4,15,0,9,4,11
ADVENZYMES,2024-12-30,10,16.0,94042,87055.0,-35.0,8.0,N,N,,,5,5,15,0,9,3,13
AEGISLOG,2024-12-30,14,18.0,100608,145711.0,-21.0,-30.0,N,Y,,,7,4,14,3,6,5,11
AEROFLEX,2024-12-30,48,58.0,270809,451178.0,-16.0,-39.0,N,N,,,7,3,15,5,4,8,8
AETHER,2024-12-30,11,10.0,18659,18581.0,7.0,0.0,N,N,,,8,1,16,1,8,4,12
AFCONS,2024-12-30,52,54.0,334682,892130.0,-4.0,-62.0,N,N,,,4,3,18,2,7,4,12
AFFLE,2024-12-30,10,15.0,111139,223766.0,-33.0,-50.0,N,Y,,,7,6,12,4,5,8,8
AFFORDABLE,2024-12-30,9,15.0,3757,12169.0,-41.0,-69.0,N,N,,,3,5,17,1,8,5,11
AFIL,2024-12-30,45,63.0,62744,105225.0,-28.0,-40.0,N,N,,,4,5,16,3,6,5,11
AGARIND,2024-12-30,16,14.0,17383,26383.0,11.0,-34.0,N,N,,,7,3,15,2,7,7,9
AGI,2024-12-30,10,16.0,44924,105468.0,-38.0,-57.0,N,N,,,9,3,13,1,8,3,13
AGIIL,2024-12-30,7,18.0,2937,21011.0,-61.0,-86.0,N,N,,,6,3,16,2,7,9,7
AGRITECH,2024-12-30,24,19.0,22912,12263.0,22.0,86.0,N,N,,,5,5,15,0,9,1,15
