TICKER,NSE CODE,GOOGLE CODE,LAST PRICE,ATM STRIKE,ATM CE VALUE,ATM PE VALUE,UPPER BAND CONS,LOWER BAND CONS
Aarti Industries Limited (XNSE:AARTIIND),AARTIIND,NSE:AARTIIND,403.4,400.0,7.65,4.0,411.65,388.35
ABB India Limited (XNSE:ABB),ABB,NSE:ABB,6926.8,6900.0,129.2,101.1,7130.3,6669.7
Abbott India Limited (XNSE:ABBOTINDIA),ABBOTINDIA,NSE:ABBOTINDIA,28597.25,28500.0,354.35,216.15,29070.5,27929.5
Aditya Birla Capital Limited (XNSE:ABCAPITAL),ABCAPITAL,NSE:ABCAPITAL,185.89,185.0,2.85,1.9,189.75,180.25
Aditya Birla Fashion and Retail Limited (XNSE:ABFRL),ABFRL,NSE:ABFRL,283.0,285.0,3.1,4.85,292.95,277.05
ACC Limited (XNSE:ACC),ACC,NSE:ACC,2066.1,2060.0,26.75,21.75,2108.5,2011.5
Adani Energy Solutions Limited (XNSE:ADANIENSOL),ADANIENSOL,NSE:ADANIENSOL,766.85,760.0,17.4,10.15,787.55,732.45
Adani Enterprises Limited (XNSE:ADANIENT),ADANIENT,NSE:ADANIENT,2344.9,2340.0,42.3,36.95,2419.25,2260.75
Adani Green Energy Limited (XNSE:ADANIGREEN),ADANIGREEN,NSE:ADANIGREEN,1038.5,1040.0,25.05,27.65,1092.7,987.3
Adani Ports and Special Economic Zone Limited (XNSE:ADANIPORTS),ADANIPORTS,NSE:ADANIPORTS,1180.9,1180.0,15.85,15.1,1210.95,1149.05
Alkem Laboratories Limited (XNSE:ALKEM),ALKEM,NSE:ALKEM,5429.65,5400.0,79.05,49.5,5528.55,5271.45
Ambuja Cements Limited (XNSE:AMBUJACEM),AMBUJACEM,NSE:AMBUJACEM,549.5,550.0,6.95,6.85,563.8,536.2
Angel One Limited (XNSE:ANGELONE),ANGELONE,NSE:ANGELONE,2879.1,2900.0,38.15,56.05,2994.2,2805.8
APL Apollo Tubes Limited (XNSE:APLAPOLLO),APLAPOLLO,NSE:APLAPOLLO,1562.45,1560.0,18.3,14.45,1592.75,1527.25
