Symbol,27-09-2024 OI,01-11-2024 OI,29-11-2024 OI,20-12-2024 OI,MAX,CURRENT OI IS MAX ?,AVG,AVG TO MAX,PRESENT TO LAST MONTH,27-09-2024 OI(LOTS),01-11-2024 OI(LOTS),29-11-2024 OI(LOTS),20-12-2024 OI(LOTS),MAX(LOTS),AVG(LOTS)
AARTIIND,15038000.0,14528000.0,15835000.0,12330000,15835000.0,NO,15133666,0.046343,0.778655,15038.0,14528.0,15835.0,12330.0,15835.0,15133
ABB,1369625.0,1732375.0,1471500.0,992500,1732375.0,NO,1524500,0.136356,0.674482,10957.0,13859.0,11772.0,7940.0,13859.0,12196
ABBOTINDIA,98840.0,102620.0,93760.0,57620,102620.0,NO,98406,0.042823,0.614548,4942.0,5131.0,4688.0,2881.0,5131.0,4920
ABCAPITAL,49825800.0,70348500.0,67246200.0,52720200,70348500.0,NO,62473500,0.126053,0.783988,9227.0,26055.0,24906.0,19526.0,26055.0,20062
ABFRL,48248200.0,55876600.0,52855400.0,49150400,55876600.0,NO,52326733,0.06784,0.929903,18557.0,21491.0,20329.0,18904.0,21491.0,20125
ACC,5358300.0,5213700.0,3641400.0,4026300,5358300.0,NO,4737800,0.130968,1.105701,17861.0,17379.0,12138.0,13421.0,17861.0,15792
ADANIENT,21812100.0,20760600.0,17830200.0,12002100,21812100.0,NO,20134300,0.08333,0.673133,72707.0,69202.0,59434.0,40007.0,72707.0,67114
ADANIPORTS,26961600.0,25978000.0,31214000.0,21118000,31214000.0,NO,28051200,0.112751,0.676555,67404.0,64945.0,78035.0,52795.0,78035.0,70128
ALKEM,2146500.0,1965500.0,1144800.0,890400,2146500.0,NO,1752266,0.224985,0.777778,21465.0,19655.0,11448.0,8904.0,21465.0,17522
AMBUJACEM,40373100.0,42915600.0,38235600.0,27919800,42915600.0,NO,40508100,0.059433,0.730204,44859.0,47684.0,42484.0,31022.0,47684.0,45009
APOLLOHOSP,1647000.0,1766750.0,1854125.0,1086375,1854125.0,NO,1755958,0.055905,0.585923,13176.0,14134.0,14833.0,8691.0,14833.0,14047
