TICKER,NSE CODE,GOOGLE CODE,LAST PRICE,ATM STRIKE,ATM CE VALUE,ATM PE VALUE,UPPER BAND CONS,LOWER BAND CONS
Aarti Industries Limited (XNSE:AARTIIND),AARTIIND,NSE:AARTIIND,450.2,450.0,13.75,13.2,476.95,423.05
ABB India Limited (XNSE:ABB),ABB,NSE:ABB,7472.45,7500.0,206.65,231.25,7937.9,7062.1
Abbott India Limited (XNSE:ABBOTINDIA),ABBOTINDIA,NSE:ABBOTINDIA,27913.75,28000.0,557.55,665.85,29223.4,26776.6
Aditya Birla Capital Limited (XNSE:ABCAPITAL),ABCAPITAL,NSE:ABCAPITAL,195.13,195.0,6.15,5.75,206.9,183.1
Aditya Birla Fashion and Retail Limited (XNSE:ABFRL),ABFRL,NSE:ABFRL,314.9,315.0,9.7,9.8,334.5,295.5
ACC Limited (XNSE:ACC),ACC,NSE:ACC,2238.2,2240.0,65.1,65.15,2370.25,2109.75
Adani Energy Solutions Limited (XNSE:ADANIENSOL),ADANIENSOL,NSE:ADANIENSOL,843.7,840.0,64.5,58.85,963.35,716.65
Adani Enterprises Limited (XNSE:ADANIENT),ADANIENT,NSE:ADANIENT,2479.3,2480.0,134.3,132.7,2747.0,2213.0
Adani Green Energy Limited (XNSE:ADANIGREEN),ADANIGREEN,NSE:ADANIGREEN,1333.55,1340.0,95.6,262.25,1697.85,982.15
Adani Ports and Special Economic Zone Limited (XNSE:ADANIPORTS),ADANIPORTS,NSE:ADANIPORTS,1197.9,1200.0,55.55,56.3,1311.85,1088.15
Alkem Laboratories Limited (XNSE:ALKEM),ALKEM,NSE:ALKEM,5656.75,5700.0,131.0,171.25,6002.25,5397.75
Ambuja Cements Limited (XNSE:AMBUJACEM),AMBUJACEM,NSE:AMBUJACEM,534.9,530.0,19.15,14.45,563.6,496.4
Angel One Limited (XNSE:ANGELONE),ANGELONE,NSE:ANGELONE,2915.6,2900.0,124.05,112.1,3136.15,2663.85
APL Apollo Tubes Limited (XNSE:APLAPOLLO),APLAPOLLO,NSE:APLAPOLLO,1526.3,1520.0,43.4,52.95,1616.35,1423.65
Apollo Hospitals Enterprise Limited (XNSE:APOLLOHOSP),APOLLOHOSP,NSE:APOLLOHOSP,6875.8,6900.0,147.1,165.8,7212.9,6587.1
Apollo Tyres Limited (XNSE:APOLLOTYRE),APOLLOTYRE,NSE:APOLLOTYRE,501.65,500.0,15.75,13.9,529.65,470.35
Ashok Leyland Limited (XNSE:ASHOKLEY),ASHOKLEY,NSE:ASHOKLEY,232.33,232.5,6.5,6.7,245.7,219.3
