TICKER,NSE CODE,GOOGLE CODE,LAST PRICE,ATM STRIKE,ATM CE VALUE,ATM PE VALUE,UPPER BAND CONS,LOWER BAND CONS,COMBINED PREMIUM,% PREMIUM
Aarti Industries Limited (XNSE:AARTIIND),AARTIIND,NSE:AARTIIND,413.3,415.0,11.0,12.6,438.6,391.4,23.6,5.71%
ABB India Limited (XNSE:ABB),ABB,NSE:ABB,6943.95,6900.0,236.75,194.6,7331.35,6468.65,431.35,6.21%
Abbott India Limited (XNSE:ABBOTINDIA),ABBOTINDIA,NSE:ABBOTINDIA,29932.75,30000.0,770.75,818.4,31589.15,28410.85,1589.15,5.31%
Aditya Birla Capital Limited (XNSE:ABCAPITAL),ABCAPITAL,NSE:ABCAPITAL,178.97,180.0,4.95,5.9,190.85,169.15,10.85,6.06%
Aditya Birla Fashion and Retail Limited (XNSE:ABFRL),ABFRL,NSE:ABFRL,281.55,280.0,9.9,8.2,298.1,261.9,18.1,6.43%
ACC Limited (XNSE:ACC),ACC,NSE:ACC,2067.7,2060.0,62.4,53.25,2175.65,1944.35,115.65,5.59%
Adani Energy Solutions Limited (XNSE:ADANIENSOL),ADANIENSOL,NSE:ADANIENSOL,808.9,800.0,41.0,31.25,872.25,727.75,72.25,8.93%
Adani Enterprises Limited (XNSE:ADANIENT),ADANIENT,NSE:ADANIENT,2546.6,2540.0,96.3,88.15,2724.45,2355.55,184.45,7.24%
Adani Green Energy Limited (XNSE:ADANIGREEN),ADANIGREEN,NSE:ADANIGREEN,1043.3,1040.0,62.45,58.6,1161.05,918.95,121.05,11.6%
Adani Ports and Special Economic Zone Limited (XNSE:ADANIPORTS),ADANIPORTS,NSE:ADANIPORTS,1237.4,1240.0,39.25,40.3,1319.55,1160.45,79.55,6.43%
Alkem Laboratories Limited (XNSE:ALKEM),ALKEM,NSE:ALKEM,5628.7,5650.0,141.7,161.0,5952.7,5347.3,302.7,5.38%
Ambuja Cements Limited (XNSE:AMBUJACEM),AMBUJACEM,NSE:AMBUJACEM,538.8,540.0,15.5,16.4,571.9,508.1,31.9,5.92%
Angel One Limited (XNSE:ANGELONE),ANGELONE,NSE:ANGELONE,2939.4,2950.0,134.85,146.0,3230.85,2669.15,280.85,9.55%
APL Apollo Tubes Limited (XNSE:APLAPOLLO),APLAPOLLO,NSE:APLAPOLLO,1581.5,1580.0,60.25,57.95,1698.2,1461.8,118.2,7.47%
Apollo Hospitals Enterprise Limited (XNSE:APOLLOHOSP),APOLLOHOSP,NSE:APOLLOHOSP,7351.3,7350.0,166.55,160.5,7677.05,7022.95,327.05,4.45%
Apollo Tyres Limited (XNSE:APOLLOTYRE),APOLLOTYRE,NSE:APOLLOTYRE,529.2,530.0,14.4,15.15,559.55,500.45,29.55,5.58%
Ashok Leyland Limited (XNSE:ASHOKLEY),ASHOKLEY,NSE:ASHOKLEY,221.66,222.5,5.7,6.45,234.65,210.35,12.15,5.48%
Asian Paints Limited (XNSE:ASIANPAINT),ASIANPAINT,NSE:ASIANPAINT,2294.9,2300.0,53.6,58.3,2411.9,2188.1,111.9,4.88%
Astral Limited (XNSE:ASTRAL),ASTRAL,NSE:ASTRAL,1660.75,1660.0,44.7,43.05,1747.75,1572.25,87.75,5.28%
Adani Total Gas Limited (XNSE:ATGL),ATGL,NSE:ATGL,725.25,730.0,34.55,38.05,802.6,657.4,72.6,10.01%
Atul Limited (XNSE:ATUL),ATUL,NSE:ATUL,6987.5,7000.0,214.0,230.0,7444.0,6556.0,444.0,6.35%
AU Small Finance Bank Limited (XNSE:AUBANK),AUBANK,NSE:AUBANK,550.4,550.0,18.5,18.15,586.65,513.35,36.65,6.66%
Aurobindo Pharma Limited (XNSE:AUROPHARMA),AUROPHARMA,NSE:AUROPHARMA,1343.9,1340.0,41.9,37.65,1419.55,1260.45,79.55,5.92%
Axis Bank Limited (XNSE:AXISBANK),AXISBANK,NSE:AXISBANK,1072.65,1070.0,27.85,24.5,1122.35,1017.65,52.35,4.88%
Bajaj Auto Limited (XNSE:BAJAJ-AUTO),BAJAJ-AUTO,NSE:BAJAJ-AUTO,8866.1,8900.0,243.65,269.6,9413.25,8386.75,513.25,5.79%
Bajaj Finserv Limited (XNSE:BAJAJFINSV),BAJAJFINSV,NSE:BAJAJFINSV,1579.95,1580.0,37.75,37.9,1655.65,1504.35,75.65,4.79%
Bajaj Finance Limited (XNSE:BAJFINANCE),BAJFINANCE,NSE:BAJFINANCE,6873.95,6900.0,172.25,192.5,7264.75,6535.25,364.75,5.31%
Balkrishna Industries Limited (XNSE:BALKRISIND),BALKRISIND,NSE:BALKRISIND,2922.9,2920.0,97.45,163.75,3181.2,2658.8,261.2,8.94%
Bandhan Bank Limited (XNSE:BANDHANBNK),BANDHANBNK,NSE:BANDHANBNK,159.89,160.0,5.75,5.75,171.5,148.5,11.5,7.19%
Bank of Baroda (XNSE:BANKBARODA),BANKBARODA,NSE:BANKBARODA,242.31,242.5,7.2,7.25,256.95,228.05,14.45,5.96%
Bank of India (XNSE:BANKINDIA),BANKINDIA,NSE:BANKINDIA,102.25,102.0,3.75,3.45,109.2,94.8,7.2,7.04%
Bata India Limited (XNSE:BATAINDIA),BATAINDIA,NSE:BATAINDIA,1373.05,1370.0,36.6,33.2,1439.8,1300.2,69.8,5.08%
Bharat Electronics Limited (XNSE:BEL),BEL,NSE:BEL,294.4,295.0,8.9,9.45,313.35,276.65,18.35,6.23%
Berger Paints (I) Limited (XNSE:BERGEPAINT),BERGEPAINT,NSE:BERGEPAINT,450.9,450.0,12.25,11.15,473.4,426.6,23.4,5.19%
Bharat Forge Limited (XNSE:BHARATFORG),BHARATFORG,NSE:BHARATFORG,1308.2,1300.0,41.65,33.0,1374.65,1225.35,74.65,5.71%
Bharti Airtel Limited (XNSE:BHARTIARTL),BHARTIARTL,NSE:BHARTIARTL,1598.8,1600.0,35.8,36.8,1672.6,1527.4,72.6,4.54%
Bharat Heavy Electricals Limited (XNSE:BHEL),BHEL,NSE:BHEL,230.95,230.0,9.25,8.0,247.25,212.75,17.25,7.47%
Biocon Limited (XNSE:BIOCON),BIOCON,NSE:BIOCON,367.95,370.0,10.4,12.25,392.65,347.35,22.65,6.16%
Bosch Limited (XNSE:BOSCHLTD),BOSCHLTD,NSE:BOSCHLTD,34280.7,34500.0,774.75,859.8,36134.55,32865.45,1634.55,4.77%
Bharat Petroleum Corporation Limited (XNSE:BPCL),BPCL,NSE:BPCL,293.6,295.0,8.65,9.9,313.55,276.45,18.55,6.32%
Britannia Industries Limited (XNSE:BRITANNIA),BRITANNIA,NSE:BRITANNIA,4791.55,4800.0,102.35,110.05,5012.4,4587.6,212.4,4.43%
BSE Limited (XNSE:BSE),BSE,NSE:BSE,5348.3,5300.0,268.55,221.3,5789.85,4810.15,489.85,9.16%
BIRLASOFT LIMITED (XNSE:BSOFT),BSOFT,NSE:BSOFT,564.5,560.0,22.6,18.05,600.65,519.35,40.65,7.2%
Computer Age Management Services Limited (XNSE:CAMS),CAMS,NSE:CAMS,5072.0,5100.0,175.7,197.9,5473.6,4726.4,373.6,7.37%
Canara Bank (XNSE:CANBK),CANBK,NSE:CANBK,100.84,101.0,3.1,3.25,107.35,94.65,6.35,6.3%
Can Fin Homes Limited (XNSE:CANFINHOME),CANFINHOME,NSE:CANFINHOME,762.35,760.0,25.2,23.0,808.2,711.8,48.2,6.32%
Central Depository Services (India) Limited (XNSE:CDSL),CDSL,NSE:CDSL,1768.75,1760.0,71.0,62.05,1893.05,1626.95,133.05,7.52%
CESC Limited (XNSE:CESC),CESC,NSE:CESC,187.14,187.5,,7.4,,,7.4,3.95%
CG Power and Industrial Solutions Limited (XNSE:CGPOWER),CGPOWER,NSE:CGPOWER,733.15,730.0,28.85,25.55,784.4,675.6,54.4,7.42%
Chambal Fertilizers & Chemicals Limited (XNSE:CHAMBLFERT),CHAMBLFERT,NSE:CHAMBLFERT,496.2,500.0,14.4,18.0,532.4,467.6,32.4,6.53%
Cholamandalam Investment and Finance Company Limited (XNSE:CHOLAFIN),CHOLAFIN,NSE:CHOLAFIN,1194.7,1200.0,37.65,42.8,1280.45,1119.55,80.45,6.73%
Cipla Limited (XNSE:CIPLA),CIPLA,NSE:CIPLA,1536.3,1540.0,34.85,39.15,1614.0,1466.0,74.0,4.82%
Coal India Limited (XNSE:COALINDIA),COALINDIA,NSE:COALINDIA,386.0,385.0,10.75,9.65,405.4,364.6,20.4,5.28%
Coforge Limited (XNSE:COFORGE),COFORGE,NSE:COFORGE,9662.85,9700.0,327.85,365.45,10393.3,9006.7,693.3,7.17%
Colgate Palmolive (India) Limited (XNSE:COLPAL),COLPAL,NSE:COLPAL,2700.75,2700.0,77.65,75.25,2852.9,2547.1,152.9,5.66%
Container Corporation of India Limited (XNSE:CONCOR),CONCOR,NSE:CONCOR,791.3,790.0,22.85,21.8,834.65,745.35,44.65,5.64%
Coromandel International Limited (XNSE:COROMANDEL),COROMANDEL,NSE:COROMANDEL,1889.3,1880.0,60.5,50.6,1991.1,1768.9,111.1,5.88%
Crompton Greaves Consumer Electricals Limited (XNSE:CROMPTON),CROMPTON,NSE:CROMPTON,397.6,400.0,10.4,12.75,423.15,376.85,23.15,5.82%
City Union Bank Limited (XNSE:CUB),CUB,NSE:CUB,173.36,172.5,5.1,4.3,181.9,163.1,9.4,5.42%
Cummins India Limited (XNSE:CUMMINSIND),CUMMINSIND,NSE:CUMMINSIND,3296.1,3300.0,100.3,102.45,3502.75,3097.25,202.75,6.15%
Cyient Limited (XNSE:CYIENT),CYIENT,NSE:CYIENT,1849.95,1840.0,74.0,68.15,1982.15,1697.85,142.15,7.68%
Dabur India Limited (XNSE:DABUR),DABUR,NSE:DABUR,509.95,510.0,11.55,11.3,532.85,487.15,22.85,4.48%
Dalmia Bharat Limited (XNSE:DALBHARAT),DALBHARAT,NSE:DALBHARAT,1774.7,1780.0,53.95,65.55,1899.5,1660.5,119.5,6.73%
Deepak Nitrite Limited (XNSE:DEEPAKNTR),DEEPAKNTR,NSE:DEEPAKNTR,2511.55,2500.0,78.95,66.2,2645.15,2354.85,145.15,5.78%
Delhivery Limited (XNSE:DELHIVERY),DELHIVERY,NSE:DELHIVERY,345.85,345.0,12.6,11.75,369.35,320.65,24.35,7.04%
