SYMBOL,DATE,qnty_per_trade,avg_qnty_per_trade,deliv_qty,avg_deliv_qty,trade_qty_deviation,delivery_qty_deviation,F&O,NIFTY_500,ROC_RS_7,ROC_RS_14,AD_Count,DD_Count,NA_Count,vwap_positive_7days,vwap_negative_7days,vwap_positive_14days,vwap_negative_14days
360ONE,2025-01-01,13,16.0,84765,367063.0,-18.0,-76.0,N,Y,3.660886,10.02045,7,1,17,6,1,10,4
3IINFOLTD,2025-01-01,422,157.0,2883749,350037.0,168.0,723.0,N,N,16.666667,7.692308,9,3,13,2,5,4,10
3MINDIA,2025-01-01,1,1.0,945,1820.0,0.0,-48.0,N,Y,-1.587425,-0.873567,4,5,16,2,5,5,9
5PAISA,2025-01-01,13,11.0,17326,12676.0,20.0,36.0,N,N,2.525253,0.0,4,7,14,3,4,4,10
63MOONS,2025-01-01,166,60.0,155321,282277.0,174.0,-44.0,N,N,-0.497512,12.676056,9,4,12,4,3,6,6
AAATECH,2025-01-01,30,21.0,8264,8357.0,41.0,-1.0,N,N,4.651163,-2.173913,5,7,13,3,4,3,11
AADHARHFC,2025-01-01,30,29.0,166998,274157.0,4.0,-39.0,N,Y,-1.117318,0.0,7,2,16,2,5,6,8
AAKASH,2025-01-01,180,170.0,49105,85783.0,5.0,-42.0,N,N,0.0,0.0,5,9,11,1,5,1,12
AARON,2025-01-01,13,18.0,6966,16352.0,-26.0,-57.0,N,N,-4.242424,12.857143,7,5,13,1,6,3,11
AARTECH,2025-01-01,182,86.0,123517,90148.0,111.0,37.0,N,N,2.941176,9.375,9,2,14,2,5,6,8
AARTIDRUGS,2025-01-01,10,14.0,38543,105306.0,-30.0,-63.0,N,N,7.865169,5.494505,3,6,16,2,5,4,10
AARTIIND,2025-01-01,39,37.0,326976,502526.0,5.0,-34.0,Y,Y,1.744186,-1.685393,4,7,14,4,3,7,7
AARTIPHARM,2025-01-01,21,19.0,229509,354686.0,9.0,-35.0,N,N,20.901639,20.408163,7,5,13,5,2,6,8
AARTISURF,2025-01-01,13,14.0,5118,4371.0,-5.0,17.0,N,N,0.0,354.237288,6,5,14,1,1,1,1
AARVI,2025-01-01,27,28.0,5676,8481.0,0.0,-33.0,N,N,-1.724138,-6.557377,4,4,17,3,4,6,8
AAVAS,2025-01-01,11,16.0,32945,126974.0,-31.0,-74.0,N,Y,0.426136,3.362573,5,4,16,6,1,10,4
ABAN,2025-01-01,24,32.0,11643,28912.0,-23.0,-59.0,N,N,0.0,-3.571429,4,5,16,2,5,2,12
ABB,2025-01-01,5,7.0,24070,132619.0,-32.0,-81.0,Y,Y,-0.409556,-6.444373,6,5,14,3,4,5,9
ABBOTINDIA,2025-01-01,1,2.0,1639,5163.0,-15.0,-68.0,Y,Y,5.1651,7.966869,5,4,16,3,4,6,8
ABCAPITAL,2025-01-01,62,79.0,560213,873822.0,-21.0,-35.0,Y,Y,-3.846154,-6.25,5,8,12,1,6,3,11
ABDL,2025-01-01,53,62.0,172742,615537.0,-14.0,-71.0,N,N,5.847953,19.86755,10,3,12,5,2,7,7
ABFRL,2025-01-01,80,92.0,268098,785495.0,-12.0,-65.0,Y,Y,0.0,-4.032258,3,6,16,4,3,6,8
ABGSEC,2025-01-01,247,28.0,4111,342.0,766.0,1098.0,N,N,0.0,2.325581,4,5,16,2,4,3,10
ABREL,2025-01-01,5,8.0,20208,88047.0,-32.0,-77.0,N,Y,-2.023919,-5.668733,3,8,14,1,6,2,12
ABSLAMC,2025-01-01,10,14.0,152456,238710.0,-27.0,-36.0,N,Y,5.705706,5.705706,4,4,17,3,4,4,10
ABSLBANETF,2025-01-01,58,78.0,33628,52174.0,-25.0,-35.0,N,N,0.0,0.0,8,5,12,1,5,3,10
ABSLLIQUID,2025-01-01,97,211.0,4665,4451.0,-54.0,4.0,N,N,0.0,3.439803,0,0,25,3,1,6,4
ABSLNN50ET,2025-01-01,38,44.0,8774,16745.0,-12.0,-47.0,N,N,0.0,-3.225806,6,5,14,3,4,6,8
ABSLPSE,2025-01-01,1357,443.0,540911,414115.0,206.0,30.0,N,N,0.0,0.0,3,6,16,4,3,7,7
ACC,2025-01-01,7,11.0,46780,99181.0,-36.0,-52.0,Y,Y,-2.149321,-4.735683,5,6,14,3,4,5,9
ACCELYA,2025-01-01,6,13.0,4184,15947.0,-52.0,-73.0,N,N,0.158479,-2.167183,5,6,14,2,5,4,10
ACCURACY,2025-01-01,489,201.0,522924,219680.0,142.0,138.0,N,N,25.0,0.0,6,3,16,1,6,5,9
ACE,2025-01-01,16,13.0,248632,194293.0,24.0,27.0,N,Y,4.140127,17.837838,9,6,10,1,6,4,10
ACEINTEG,2025-01-01,27,27.0,2518,7182.0,0.0,-64.0,N,N,0.0,0.0,4,7,14,3,4,3,11
ACI,2025-01-01,13,14.0,25302,86226.0,-7.0,-70.0,N,Y,1.438849,-0.353357,6,6,13,4,3,7,7
ACL,2025-01-01,43,35.0,18669,17854.0,23.0,4.0,N,N,2.857143,5.882353,7,2,16,3,4,5,9
ACLGATI,2025-01-01,58,59.0,68074,128403.0,-1.0,-46.0,N,N,0.0,-2.564103,5,7,13,2,5,4,10
ACMESOLAR,2025-01-01,56,50.0,133559,579940.0,12.0,-76.0,N,N,2.061856,-10.810811,6,5,14,4,3,5,9
ADANIENSOL,2025-01-01,23,35.0,271387,1007493.0,-33.0,-73.0,Y,Y,3.98773,1.801802,6,4,15,5,2,8,6
