SYMBOL,DATE,qnty_per_trade,avg_qnty_per_trade,deliv_qty,avg_deliv_qty,trade_qty_deviation,delivery_qty_deviation,F&O,NIFTY_500,ROC_RS_7,ROC_RS_14,AD_Count,DD_Count,NA_Count,vwap_positive_7days,vwap_negative_7days,vwap_positive_14days,vwap_negative_14days
360ONE,2024-12-31,11,16.0,171767,394003.0,-27.0,-56.0,N,Y,0.188679,8.14664,7,1,17,5,2,10,4
3IINFOLTD,2024-12-31,129,161.0,143240,364183.0,-19.0,-60.0,N,N,0.0,0.0,8,4,13,1,6,3,11
3MINDIA,2024-12-31,1,1.0,456,1892.0,11.0,-75.0,N,Y,-1.607471,0.187062,4,4,17,2,5,6,8
5PAISA,2024-12-31,10,11.0,8774,12957.0,-6.0,-32.0,N,N,-1.492537,-3.414634,3,7,15,2,5,3,11
63MOONS,2024-12-31,45,67.0,221443,307610.0,-32.0,-28.0,N,N,-8.173077,2.688172,10,4,11,3,4,6,6
AAATECH,2024-12-31,30,20.0,7991,8672.0,45.0,-7.0,N,N,0.0,-4.347826,4,7,14,3,4,3,11
AADHARHFC,2024-12-31,29,29.0,139678,278465.0,-3.0,-49.0,N,Y,-0.555556,5.294118,7,2,16,2,5,6,8
AAKASH,2024-12-31,124,173.0,48396,87652.0,-28.0,-44.0,N,N,0.0,0.0,4,9,12,1,6,2,12
AARON,2024-12-31,17,19.0,24430,16121.0,-5.0,51.0,N,N,2.040816,6.382979,7,5,13,0,7,2,12
AARTECH,2024-12-31,48,86.0,17020,92524.0,-44.0,-81.0,N,N,-5.714286,6.451613,8,3,14,2,5,5,9
AARTIDRUGS,2024-12-31,13,15.0,88917,103045.0,-7.0,-13.0,N,N,7.142857,5.978261,3,6,16,2,5,5,9
AARTIIND,2024-12-31,39,38.0,445784,490812.0,3.0,-9.0,Y,Y,1.169591,-4.41989,4,7,14,3,4,6,8
AARTIPHARM,2024-12-31,17,20.0,263754,347195.0,-13.0,-24.0,N,N,19.834711,17.408907,6,6,13,5,2,7,7
AARTISURF,2024-12-31,14,,4371,,,,N,N,-0.735294,357.627119,6,5,14,1,0,1,0
AARVI,2024-12-31,19,28.0,4276,8516.0,-31.0,-49.0,N,N,-3.389831,-1.724138,5,4,16,2,5,5,9
AAVAS,2024-12-31,9,17.0,68120,128310.0,-43.0,-46.0,N,Y,0.566572,4.565538,5,4,16,5,2,10,4
ABAN,2024-12-31,23,35.0,23740,30668.0,-32.0,-22.0,N,N,0.0,-3.571429,4,6,15,1,6,1,13
ABB,2024-12-31,6,7.0,101689,130160.0,-15.0,-21.0,Y,Y,-0.374915,-6.792092,6,5,14,2,5,5,9
ABBOTINDIA,2024-12-31,1,2.0,3879,4938.0,-17.0,-21.0,Y,Y,3.531155,7.348297,5,5,15,2,5,5,9
ABCAPITAL,2024-12-31,50,81.0,899980,886007.0,-38.0,1.0,Y,Y,-5.063291,-8.536585,5,8,12,0,7,3,11
ABDL,2024-12-31,40,63.0,296191,608532.0,-36.0,-51.0,N,N,10.97561,19.736842,10,3,12,5,2,7,7
ABFRL,2024-12-31,73,93.0,347419,793238.0,-21.0,-56.0,Y,Y,-1.666667,-6.349206,3,6,16,3,4,5,9
ABGSEC,2024-12-31,1,31.0,3,372.0,-95.0,-99.0,N,N,0.0,4.761905,4,4,17,3,3,4,9
ABREL,2024-12-31,10,8.0,73002,87437.0,24.0,-16.0,N,Y,-4.75763,-5.772647,3,8,14,1,6,2,12
ABSLAMC,2024-12-31,13,14.0,236870,240466.0,-5.0,-1.0,N,Y,4.424779,5.671642,4,4,17,3,4,4,10
ABSLBANETF,2024-12-31,27,91.0,4683,63658.0,-69.0,-92.0,N,N,0.0,0.0,7,5,13,1,5,3,10
ABSLLIQUID,2024-12-31,85,223.0,2478,4393.0,-61.0,-43.0,N,N,-0.235849,4.187192,0,0,25,3,2,6,4
ABSLNN50ET,2024-12-31,66,58.0,17244,23768.0,14.0,-27.0,N,N,0.0,-3.225806,6,5,14,2,5,5,9
ABSLPSE,2024-12-31,3181,214.0,2093062,259345.0,1379.0,707.0,N,N,0.0,0.0,3,6,16,3,4,6,8
ACC,2024-12-31,8,12.0,62781,116977.0,-29.0,-46.0,Y,Y,-0.8,-4.928806,5,6,14,2,5,4,10
ACCELYA,2024-12-31,6,13.0,5565,16032.0,-48.0,-65.0,N,N,-2.660407,-3.71517,6,6,13,1,6,4,10
ACCURACY,2024-12-31,151,211.0,129029,251235.0,-28.0,-48.0,N,N,-20.0,-20.0,5,3,17,1,6,6,8
ACE,2024-12-31,10,13.0,84068,192381.0,-24.0,-56.0,N,Y,0.949367,11.538462,8,6,11,1,6,4,10
ACEINTEG,2024-12-31,21,27.0,2128,7585.0,-23.0,-71.0,N,N,0.0,0.0,4,8,13,3,4,3,11
ACI,2024-12-31,16,14.0,49980,93406.0,13.0,-46.0,N,Y,1.798561,-0.352113,6,6,13,3,4,7,7
ACL,2024-12-31,50,34.0,35122,17303.0,45.0,102.0,N,N,5.882353,2.857143,7,2,16,2,5,4,10
ACLGATI,2024-12-31,49,61.0,56774,136261.0,-20.0,-58.0,N,N,-2.564103,-5.0,4,7,14,2,5,4,10
ACMESOLAR,2024-12-31,47,51.0,158214,660671.0,-8.0,-76.0,N,N,1.010101,-8.256881,6,5,14,4,3,6,8
ADANIENSOL,2024-12-31,26,36.0,383608,1021390.0,-25.0,-62.0,Y,Y,4.923077,6.23053,6,4,15,5,2,9,5
ADANIENT,2024-12-31,22,18.0,832455,460944.0,19.0,80.0,Y,Y,7.545272,7.221665,7,5,13,2,5,5,9
ADANIGREEN,2024-12-31,28,32.0,891320,1626312.0,-11.0,-45.0,Y,Y,0.22779,-5.579399,5,3,17,2,5,3,11
ADANIPORTS,2024-12-31,26,30.0,636199,1177300.0,-11.0,-45.0,Y,Y,3.992016,3.992016,5,4,16,3,4,5,9
ADANIPOWER,2024-12-31,54,56.0,994139,1627229.0,-3.0,-38.0,N,Y,6.161137,6.161137,5,3,17,3,4,3,11
ADFFOODS,2024-12-31,35,38.0,98028,112525.0,-8.0,-12.0,N,N,-10.071942,-6.716418,4,4,17,2,5,5,9
ADL,2024-12-31,39,,2346,,,,N,N,-2.380952,0.0,9,4,12,1,0,1,0
ADORWELD,2024-12-31,5,8.0,5142,10596.0,-35.0,-51.0,N,N,-3.10559,0.862069,5,7,13,4,3,5,9
ADSL,2024-12-31,50,46.0,78669,111200.0,8.0,-29.0,N,N,-4.807692,-6.603774,5,7,13,1,6,2,12
ADVANIHOTR,2024-12-31,36,50.0,29734,47737.0,-26.0,-37.0,N,N,-3.333333,-3.333333,7,3,15,1,6,4,9
ADVENZYMES,2024-12-31,16,15.0,190763,82427.0,6.0,131.0,N,N,-3.921569,-6.962025,6,5,14,1,6,3,11
AEGISLOG,2024-12-31,14,18.0,86072,138281.0,-22.0,-37.0,N,Y,-0.857143,10.509554,7,4,14,2,5,3,11
AEROFLEX,2024-12-31,42,58.0,154088,463234.0,-26.0,-66.0,N,N,-2.298851,-3.409091,7,3,15,4,3,8,6
AETHER,2024-12-31,7,10.0,10399,17108.0,-33.0,-39.0,N,N,0.806452,1.626016,8,1,16,2,5,5,9
AFCONS,2024-12-31,76,54.0,1290828,881010.0,40.0,46.0,N,N,4.524887,8.450704,4,3,18,2,5,3,11
AFFLE,2024-12-31,6,14.0,57423,215968.0,-55.0,-73.0,N,Y,3.005464,2.445652,7,5,13,3,4,8,6
AFFORDABLE,2024-12-31,18,14.0,17118,10653.0,26.0,60.0,N,N,1.851852,4.562738,3,5,17,1,6,5,9
AFIL,2024-12-31,79,64.0,217636,109959.0,23.0,97.0,N,N,-10.0,-16.27907,4,5,16,3,4,4,10
AGARIND,2024-12-31,7,14.0,7641,27139.0,-50.0,-71.0,N,N,-4.063604,7.100592,6,3,16,3,4,7,7
AGI,2024-12-31,7,15.0,33690,96730.0,-54.0,-65.0,N,N,-9.885932,-4.627767,9,2,14,1,6,3,11
AGIIL,2024-12-31,6,18.0,1947,21584.0,-64.0,-90.0,N,N,-3.088803,3.150685,6,3,16,1,6,8,6
AGRITECH,2024-12-31,17,21.0,13811,14512.0,-15.0,-4.0,N,N,1.190476,2.409639,5,5,15,0,7,1,13
AGROPHOS,2024-12-31,41,78.0,13478,32611.0,-47.0,-58.0,N,N,0.0,0.0,7,4,14,1,6,2,12
AGSTRA,2024-12-31,359,207.0,1942823,1051983.0,73.0,84.0,N,N,-6.666667,-15.151515,6,6,13,1,6,3,11
AHL,2024-12-31,103,63.0,150813,137832.0,62.0,9.0,N,N,-1.769912,-20.714286,1,10,14,2,5,3,11
AHLADA,2024-12-31,26,50.0,13886,27309.0,-47.0,-49.0,N,N,-2.5,-4.878049,5,3,17,3,4,3,11
AHLEAST,2024-12-31,17,25.0,3731,9847.0,-30.0,-62.0,N,N,1.408451,-1.369863,8,3,14,2,5,6,8
AHLUCONT,2024-12-31,3,5.0,5028,34294.0,-36.0,-85.0,N,N,-1.809955,-5.856833,3,6,16,3,4,6,8
AIAENG,2024-12-31,4,6.0,14581,48396.0,-18.0,-69.0,N,Y,0.911641,0.911641,5,5,15,5,2,6,8
AIIL,2024-12-31,5,8.0,6211,21302.0,-35.0,-70.0,N,N,0.278164,-3.866667,9,3,13,4,3,6,8
AIRAN,2024-12-31,112,98.0,85942,159317.0,13.0,-46.0,N,N,-6.666667,-6.666667,5,6,14,3,4,6,8
AIROLAM,2024-12-31,18,43.0,4420,36002.0,-57.0,-87.0,N,N,1.851852,12.244898,9,2,14,1,6,2,12
AJANTPHARM,2024-12-31,4,5.0,34180,74358.0,-21.0,-54.0,N,Y,2.057613,9.347443,4,9,12,4,3,10,4
AJMERA,2024-12-31,17,12.0,72324,24090.0,41.0,200.0,N,N,0.662252,-2.771855,7,4,14,2,5,5,9
AJOONI,2024-12-31,1676,557.0,390653,374664.0,200.0,4.0,N,N,0.0,0.0,4,9,12,0,5,0,12
AKASH,2024-12-31,29,30.0,1943,7370.0,-5.0,-73.0,N,N,-6.666667,0.0,4,7,14,2,5,4,10
AKG,2024-12-31,108,132.0,15094,28261.0,-17.0,-46.0,N,N,0.0,0.0,4,6,15,2,4,4,9
AKI,2024-12-31,153,209.0,106262,110123.0,-26.0,-3.0,N,N,-16.666667,-16.666667,5,7,13,0,7,2,11
AKSHARCHEM,2024-12-31,18,18.0,6232,19855.0,3.0,-68.0,N,N,-3.759398,2.4,5,5,15,1,6,3,11
AKUMS,2024-12-31,30,28.0,86422,241656.0,5.0,-64.0,N,Y,11.111111,8.433735,4,6,15,4,3,7,7
AKZOINDIA,2024-12-31,4,4.0,6475,6083.0,2.0,6.0,N,N,-0.328299,4.258242,3,7,15,1,6,4,10
ALANKIT,2024-12-31,226,239.0,280482,361302.0,-5.0,-22.0,N,N,0.0,-10.0,5,3,17,2,4,3,10
ALBERTDAVD,2024-12-31,6,6.0,1742,4967.0,-6.0,-64.0,N,N,0.357782,-6.810631,6,5,14,3,4,3,11
