TICKER,NSE CODE,GOOGLE CODE,LAST PRICE,ATM STRIKE,ATM CE VALUE,ATM PE VALUE,UPPER BAND CONS,LOWER BAND CONS,COMBINED PREMIUM,% PREMIUM
XNSE:AARTIIND,AARTIIND,NSE:AARTIIND,409.7,410.0,13.75,13.7,437.45,382.55,27.45,6.7%
XNSE:ABB,ABB,NSE:ABB,6129.7,6100.0,182.85,157.8,6440.65,5759.35,340.65,5.56%
XNSE:ABBOTINDIA,ABBOTINDIA,NSE:ABBOTINDIA,28598.85,28500.0,756.5,420.0,29676.5,27323.5,1176.5,4.11%
XNSE:ABCAPITAL,ABCAPITAL,NSE:ABCAPITAL,170.46,170.0,5.6,5.05,180.65,159.35,10.65,6.25%
XNSE:ABFRL,ABFRL,NSE:ABFRL,261.6,260.0,9.55,8.05,277.6,242.4,17.6,6.73%
XNSE:ACC,ACC,NSE:ACC,1862.35,1860.0,56.7,53.95,1970.65,1749.35,110.65,5.94%
XNSE:ADANIENSOL,ADANIENSOL,NSE:ADANIENSOL,690.9,700.0,23.9,32.05,755.95,644.05,55.95,8.1%
XNSE:ADANIENT,ADANIENT,NSE:ADANIENT,2228.85,2220.0,91.65,81.0,2392.65,2047.35,172.65,7.75%
XNSE:ADANIGREEN,ADANIGREEN,NSE:ADANIGREEN,884.0,880.0,42.2,38.9,961.1,798.9,81.1,9.17%
XNSE:ADANIPORTS,ADANIPORTS,NSE:ADANIPORTS,1069.6,1060.0,37.8,27.6,1125.4,994.6,65.4,6.11%
XNSE:ALKEM,ALKEM,NSE:ALKEM,5223.45,5200.0,134.8,111.15,5445.95,4954.05,245.95,4.71%
XNSE:AMBUJACEM,AMBUJACEM,NSE:AMBUJACEM,493.7,495.0,14.4,15.45,524.85,465.15,29.85,6.05%
XNSE:ANGELONE,ANGELONE,NSE:ANGELONE,2399.2,2400.0,127.0,125.9,2652.9,2147.1,252.9,10.54%
XNSE:APLAPOLLO,APLAPOLLO,NSE:APLAPOLLO,1426.15,1420.0,53.9,46.35,1520.25,1319.75,100.25,7.03%
XNSE:APOLLOHOSP,APOLLOHOSP,NSE:APOLLOHOSP,6851.55,6850.0,150.55,147.7,7148.25,6551.75,298.25,4.35%
XNSE:APOLLOTYRE,APOLLOTYRE,NSE:APOLLOTYRE,441.9,440.0,12.8,10.85,463.65,416.35,23.65,5.35%
XNSE:ASHOKLEY,ASHOKLEY,NSE:ASHOKLEY,203.22,202.5,5.7,4.9,213.1,191.9,10.6,5.22%
XNSE:ASIANPAINT,ASIANPAINT,NSE:ASIANPAINT,2251.95,2260.0,40.0,47.8,2347.8,2172.2,87.8,3.9%
XNSE:ASTRAL,ASTRAL,NSE:ASTRAL,1476.65,1480.0,38.8,41.85,1560.65,1399.35,80.65,5.46%
XNSE:ATGL,ATGL,NSE:ATGL,594.1,590.0,233.25,27.5,850.75,329.25,260.75,43.89%
XNSE:ATUL,ATUL,NSE:ATUL,6648.45,6600.0,1421.65,170.0,8191.65,5008.35,1591.65,23.94%
XNSE:AUBANK,AUBANK,NSE:AUBANK,560.3,560.0,16.9,16.85,593.75,526.25,33.75,6.02%
XNSE:AUROPHARMA,AUROPHARMA,NSE:AUROPHARMA,1162.05,1160.0,33.55,32.45,1226.0,1094.0,66.0,5.68%
XNSE:AXISBANK,AXISBANK,NSE:AXISBANK,1051.95,1050.0,28.2,26.7,1104.9,995.1,54.9,5.22%
XNSE:BAJAJ-AUTO,BAJAJ-AUTO,NSE:BAJAJ-AUTO,8611.25,8600.0,234.8,223.1,9057.9,8142.1,457.9,5.32%
XNSE:BAJAJFINSV,BAJAJFINSV,NSE:BAJAJFINSV,1676.1,1680.0,31.65,36.3,1747.95,1612.05,67.95,4.05%
XNSE:BAJFINANCE,BAJFINANCE,NSE:BAJFINANCE,7169.05,7200.0,145.2,174.65,7519.85,6880.15,319.85,4.46%
XNSE:BALKRISIND,BALKRISIND,NSE:BALKRISIND,2605.2,2600.0,86.0,81.25,2767.25,2432.75,167.25,6.42%
XNSE:BANDHANBNK,BANDHANBNK,NSE:BANDHANBNK,138.01,137.5,37.15,0.7,175.35,99.65,37.85,27.43%
XNSE:BANKBARODA,BANKBARODA,NSE:BANKBARODA,217.96,217.5,6.6,6.05,230.15,204.85,12.65,5.8%
XNSE:BANKINDIA,BANKINDIA,NSE:BANKINDIA,90.75,91.0,5.0,3.15,99.15,82.85,8.15,8.98%
XNSE:BATAINDIA,BATAINDIA,NSE:BATAINDIA,1356.95,1360.0,30.6,33.75,1424.35,1295.65,64.35,4.74%
XNSE:BEL,BEL,NSE:BEL,259.95,260.0,7.85,7.9,275.75,244.25,15.75,6.06%
XNSE:BERGEPAINT,BERGEPAINT,NSE:BERGEPAINT,453.15,455.0,9.6,11.3,475.9,434.1,20.9,4.61%
XNSE:BHARATFORG,BHARATFORG,NSE:BHARATFORG,1170.75,1180.0,26.5,34.9,1241.4,1118.6,61.4,5.24%
XNSE:BHARTIARTL,BHARTIARTL,NSE:BHARTIARTL,1602.95,1600.0,33.05,30.45,1663.5,1536.5,63.5,3.96%
XNSE:BHEL,BHEL,NSE:BHEL,192.77,195.0,6.65,8.8,210.45,179.55,15.45,8.01%
XNSE:BIOCON,BIOCON,NSE:BIOCON,365.75,365.0,12.45,11.65,389.1,340.9,24.1,6.59%
XNSE:BOSCHLTD,BOSCHLTD,NSE:BOSCHLTD,31099.0,31000.0,813.6,682.0,32495.6,29504.4,1495.6,4.81%
XNSE:BPCL,BPCL,NSE:BPCL,266.4,265.0,8.85,7.3,281.15,248.85,16.15,6.06%
XNSE:BRITANNIA,BRITANNIA,NSE:BRITANNIA,4936.1,4950.0,97.7,113.75,5161.45,4738.55,211.45,4.28%
XNSE:BSE,BSE,NSE:BSE,5175.7,5200.0,186.05,206.25,5592.3,4807.7,392.3,7.58%
XNSE:BSOFT,BSOFT,NSE:BSOFT,525.85,530.0,15.75,19.6,565.35,494.65,35.35,6.72%
XNSE:CAMS,CAMS,NSE:CAMS,4292.65,4300.0,152.85,155.0,4607.85,3992.15,307.85,7.17%
XNSE:CANBK,CANBK,NSE:CANBK,88.83,89.0,2.75,2.9,94.65,83.35,5.65,6.36%
XNSE:CANFINHOME,CANFINHOME,NSE:CANFINHOME,654.3,650.0,23.85,19.6,693.45,606.55,43.45,6.64%
XNSE:CDSL,CDSL,NSE:CDSL,1533.75,1540.0,48.65,53.85,1642.5,1437.5,102.5,6.68%
XNSE:CESC,CESC,NSE:CESC,152.4,150.0,5.75,3.3,159.05,140.95,9.05,5.94%
XNSE:CGPOWER,CGPOWER,NSE:CGPOWER,616.15,620.0,19.6,25.25,664.85,575.15,44.85,7.28%
XNSE:CHAMBLFERT,CHAMBLFERT,NSE:CHAMBLFERT,454.7,450.0,17.9,12.95,480.85,419.15,30.85,6.78%
XNSE:CHOLAFIN,CHOLAFIN,NSE:CHOLAFIN,1226.55,1220.0,36.2,29.45,1285.65,1154.35,65.65,5.35%
XNSE:CIPLA,CIPLA,NSE:CIPLA,1444.45,1440.0,38.35,33.8,1512.15,1367.85,72.15,4.99%
XNSE:COALINDIA,COALINDIA,NSE:COALINDIA,363.85,365.0,8.45,9.55,383.0,347.0,18.0,4.95%
XNSE:COFORGE,COFORGE,NSE:COFORGE,8740.3,8700.0,307.75,264.3,9272.05,8127.95,572.05,6.54%
XNSE:COLPAL,COLPAL,NSE:COLPAL,2761.1,2760.0,71.9,70.55,2902.45,2617.55,142.45,5.16%
XNSE:CONCOR,CONCOR,NSE:CONCOR,730.4,730.0,18.35,17.95,766.3,693.7,36.3,4.97%
XNSE:COROMANDEL,COROMANDEL,NSE:COROMANDEL,1813.95,1820.0,48.8,55.35,1924.15,1715.85,104.15,5.74%
XNSE:CROMPTON,CROMPTON,NSE:CROMPTON,354.0,355.0,9.2,10.35,374.55,335.45,19.55,5.52%
