TICKER,NSE CODE,GOOGLE CODE,LAST PRICE,ATM STRIKE,ATM CE VALUE,ATM PE VALUE,UPPER BAND CONS,LOWER BAND CONS,COMBINED PREMIUM,% PREMIUM
Aarti Industries Limited (XNSE:AARTIIND),AARTIIND,NSE:AARTIIND,411.7,410.0,13.15,11.35,434.5,385.5,24.5,5.95%
ABB India Limited (XNSE:ABB),ABB,NSE:ABB,6770.3,6800.0,203.1,208.85,7211.95,6388.05,411.95,6.08%
Abbott India Limited (XNSE:ABBOTINDIA),ABBOTINDIA,NSE:ABBOTINDIA,30036.6,30000.0,789.4,762.05,31551.45,28448.55,1551.45,5.17%
Aditya Birla Capital Limited (XNSE:ABCAPITAL),ABCAPITAL,NSE:ABCAPITAL,181.47,182.5,4.95,5.9,193.35,171.65,10.85,5.98%
Aditya Birla Fashion and Retail Limited (XNSE:ABFRL),ABFRL,NSE:ABFRL,280.65,280.0,9.2,8.6,297.8,262.2,17.8,6.34%
ACC Limited (XNSE:ACC),ACC,NSE:ACC,2080.55,2080.0,60.25,59.0,2199.25,1960.75,119.25,5.73%
Adani Energy Solutions Limited (XNSE:ADANIENSOL),ADANIENSOL,NSE:ADANIENSOL,825.25,820.0,41.55,36.85,898.4,741.6,78.4,9.5%
Adani Enterprises Limited (XNSE:ADANIENT),ADANIENT,NSE:ADANIENT,2601.6,2600.0,103.45,99.25,2802.7,2397.3,202.7,7.79%
Adani Green Energy Limited (XNSE:ADANIGREEN),ADANIGREEN,NSE:ADANIGREEN,1070.95,1080.0,61.15,68.8,1209.95,950.05,129.95,12.13%
Adani Ports and Special Economic Zone Limited (XNSE:ADANIPORTS),ADANIPORTS,NSE:ADANIPORTS,1230.2,1240.0,36.45,44.8,1321.25,1158.75,81.25,6.6%
Alkem Laboratories Limited (XNSE:ALKEM),ALKEM,NSE:ALKEM,5567.6,5550.0,168.6,150.05,5868.65,5231.35,318.65,5.72%
Ambuja Cements Limited (XNSE:AMBUJACEM),AMBUJACEM,NSE:AMBUJACEM,549.9,550.0,16.55,15.9,582.45,517.55,32.45,5.9%
Angel One Limited (XNSE:ANGELONE),ANGELONE,NSE:ANGELONE,2912.0,2900.0,143.75,132.7,3176.45,2623.55,276.45,9.49%
APL Apollo Tubes Limited (XNSE:APLAPOLLO),APLAPOLLO,NSE:APLAPOLLO,1534.55,1540.0,50.05,53.5,1643.55,1436.45,103.55,6.75%
Apollo Hospitals Enterprise Limited (XNSE:APOLLOHOSP),APOLLOHOSP,NSE:APOLLOHOSP,7347.1,7350.0,159.8,162.7,7672.5,7027.5,322.5,4.39%
