Symbol,Lot Size,Future OI,Change (Future OI),# of lots change (Future OI),% Change in Future_OI,PE OI,Change (PE OI),# of lots change (PE OI),% Change (PE OI),CE OI,Change (CE OI),# of lots change (CE OI),% Change (CE OI),VWAP,CLOSE PRICE,Change CE / PE Ratio (OI),Delivery %,% Change in Price,% Change in Price From Low,% Change in Price From High,Decision (Based on Options,Decision (Based on Futures,Decision (Based on Price
BANKNIFTY,15,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,None,None,Neutral
FINNIFTY,25,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,None,None,Neutral
MIDCPNIFTY,120,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,None,None,Neutral
NIFTY,75,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,None,None,Neutral
NIFTYNXT50,10,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,None,None,Neutral
AARTIIND,1000,16419000,30000,30.0,0.18305,4534000,373000,373.0,8.964191,6064000,511000,511.0,9.202233,415.24,416.1,1.369973,37.98,0.014754,0.016862,0.005497,None,None,Strong. Price Close Above VWAP.
ABB,125,1786625,875,7.0,0.048999,456500,20375,163.0,4.671826,851000,13875,111.0,1.657459,6915.41,6928.45,0.680982,32.33,0.002344,0.012007,0.002771,None,None,Strong. Price Close Above VWAP.
ABBOTINDIA,20,81740,960,48.0,1.188413,7040,300,15.0,4.451039,26920,1120,56.0,4.341085,29872.42,30020.05,3.733333,30.66,0.009383,0.013847,0.001993,None,None,Strong. Price Close Above VWAP.
ABCAPITAL,2700,62677800,-394200,-146.0,-0.625,14620500,434700,161.0,3.064332,16143300,1352700,501.0,9.145674,178.12,179.0,3.111801,33.61,0.006636,0.012329,0.002786,None,None,Strong. Price Close Above VWAP.
ABFRL,2600,59555600,-104000,-40.0,-0.174322,5691400,78000,30.0,1.389532,7472400,595400,229.0,8.657845,281.07,281.85,7.633333,36.86,0.006787,0.011847,0.005645,None,None,Strong. Price Close Above VWAP.
ACC,300,4186500,26700,89.0,0.641858,1693500,85800,286.0,5.336817,1640400,87900,293.0,5.661836,2049.74,2053.3,1.024476,38.28,0.00039,0.008993,0.003252,None,None,Strong. Price Close Above VWAP.
ADANIENSOL,625,5539375,-183750,-294.0,-3.210659,1541875,168125,269.0,12.238399,2418125,113750,182.0,4.936263,808.81,805.45,0.67658,24.57,-0.00093,0.005618,0.017624,Possible Buy,None,Weak. Price Close Below VWAP.
ADANIENT,300,17110500,-254700,-849.0,-1.466727,8101200,255900,853.0,3.261826,8360100,323100,1077.0,4.020157,2561.31,2554.85,1.262603,24.69,0.010361,0.014534,0.033791,None,Possible Sell,Weak. Price Close Below VWAP.
ADANIGREEN,375,8692875,25875,69.0,0.298546,1561875,94500,252.0,6.440072,3273375,128625,343.0,4.09015,1049.13,1046.4,1.361111,20.93,0.005477,0.007171,0.01283,None,None,Weak. Price Close Below VWAP.
ADANIPORTS,400,28315600,56400,141.0,0.199581,4685600,70400,176.0,1.525394,7667600,600400,1501.0,8.495585,1219.35,1218.7,8.528409,25.12,-0.010072,0.010237,0.010635,None,None,Weak. Price Close Below VWAP.
ALKEM,100,1060700,-12600,-126.0,-1.17395,186100,14200,142.0,8.260617,264500,28100,281.0,11.886633,5609.29,5571.0,1.978873,39.29,-0.011165,0.001393,0.018136,Possible Sell,None,Weak. Price Close Below VWAP.
AMBUJACEM,900,36252900,111600,124.0,0.308788,5665500,193500,215.0,3.536184,6244200,220500,245.0,3.660541,537.07,538.6,1.139535,28.01,0.005226,0.015173,0.006273,None,None,Strong. Price Close Above VWAP.
ANGELONE,200,1954400,25800,129.0,1.337758,779600,114400,572.0,17.197835,1428000,328600,1643.0,29.88903,3006.35,3017.45,2.872378,14.72,0.029267,0.028951,0.00807,None,Possible Buy,Strong. Price Close Above VWAP.
APLAPOLLO,350,3439100,-108150,-309.0,-3.048841,1757700,129150,369.0,7.930368,2593850,-181650,-519.0,-6.544767,1580.78,1585.45,-1.406504,32.81,0.010968,0.016314,0.00717,None,None,Strong. Price Close Above VWAP.
APOLLOHOSP,125,1712875,38625,309.0,2.307003,569500,103750,830.0,22.275899,800125,201125,1609.0,33.576795,7397.5,7369.65,1.938554,36.94,0.010046,0.009486,0.010121,None,None,Weak. Price Close Below VWAP.
APOLLOTYRE,1700,13693500,-197200,-116.0,-1.419655,4027300,22100,13.0,0.551783,5591300,1195100,703.0,27.184841,525.23,527.55,54.076923,27.63,-0.003495,0.011407,0.005561,Possible Sell,None,Strong. Price Close Above VWAP.
ASHOKLEY,2500,63300000,490000,196.0,0.780131,13732500,1985000,794.0,16.897212,18837500,590000,236.0,3.23332,221.68,222.82,0.297229,22.97,0.010522,0.016468,0.005179,Possible Buy,None,Strong. Price Close Above VWAP.
ASIANPAINT,200,14126800,-313800,-1569.0,-2.17304,4185800,228400,1142.0,5.771466,5070600,324200,1621.0,6.83044,2310.17,2304.65,1.41944,43.86,0.010213,0.010811,0.007985,None,None,Weak. Price Close Below VWAP.
ASTRAL,367,4620530,-1101,-3.0,-0.023823,1275692,150470,410.0,13.372472,1427997,180197,491.0,14.441176,1649.66,1651.45,1.197561,40.09,-0.000484,0.005908,0.0038,None,None,Strong. Price Close Above VWAP.
ATGL,775,3419300,-178250,-230.0,-4.954761,1170250,64325,83.0,5.816398,1820475,-73625,-95.0,-3.88707,755.33,750.1,-1.144578,15.83,-0.014388,0.006846,0.021524,None,Possible Sell,Weak. Price Close Below VWAP.
ATUL,100,660600,-2700,-27.0,-0.407056,37400,7800,78.0,26.351351,70500,13000,130.0,22.608696,6902.04,6909.7,1.666667,21.34,-0.00722,0.011691,0.015425,None,None,Strong. Price Close Above VWAP.
AUBANK,1000,27838000,247000,247.0,0.895219,5395000,434000,434.0,8.748236,4710000,44000,44.0,0.942992,566.04,568.55,0.101382,39.31,0.016902,0.025523,0.009408,None,Possible Buy,Strong. Price Close Above VWAP.
AUROPHARMA,550,13622400,-283250,-515.0,-2.036942,2387550,1650,3.0,0.069156,2915000,-86900,-158.0,-2.894833,1345.74,1353.25,-52.666667,52.26,0.01405,0.019781,0.001697,None,None,Strong. Price Close Above VWAP.
AXISBANK,625,79779375,224375,359.0,0.282038,11424375,911250,1458.0,8.667737,15946250,164375,263.0,1.041543,1066.41,1071.8,0.180384,51.43,0.006669,0.016936,0.004782,None,None,Strong. Price Close Above VWAP.
BAJAJ-AUTO,75,3433800,71700,956.0,2.132596,994650,192675,2569.0,24.025063,1464600,307050,4094.0,26.525852,8663.58,8740.55,1.593616,36.48,-0.006598,0.022167,0.003017,None,Possible Buy,Strong. Price Close Above VWAP.
BAJAJFINSV,500,13230500,-121000,-242.0,-0.906265,2891000,152500,305.0,5.568742,4747500,849500,1699.0,21.793227,1576.53,1576.4,5.570492,40.44,0.005293,0.007284,0.004829,Possible Sell,None,Weak. Price Close Below VWAP.
BAJFINANCE,125,10345375,-12875,-103.0,-0.124297,2403125,127750,1022.0,5.614459,2679375,112500,900.0,4.382761,6898.89,6935.3,0.880626,45.07,0.016459,0.018998,0.001821,None,None,Strong. Price Close Above VWAP.
BALKRISIND,300,1791900,10500,35.0,0.589424,203700,10500,35.0,5.434783,574200,77700,259.0,15.649547,2886.62,2873.4,7.4,34.28,-0.012611,0.004317,0.018648,Possible Sell,None,Weak. Price Close Below VWAP.
BANDHANBNK,2800,100615200,-492800,-176.0,-0.4874,21949200,86800,31.0,0.397029,26208000,2304400,823.0,9.640389,159.8,159.93,26.548387,38.51,0.00547,0.005849,0.005101,None,None,Strong. Price Close Above VWAP.
BANKBARODA,2925,174985200,-391950,-134.0,-0.22349,36474750,1714050,586.0,4.931,36931050,2571075,879.0,7.482762,240.72,241.22,1.5,33.3,0.002785,0.010261,0.002316,None,None,Strong. Price Close Above VWAP.
BANKINDIA,4825,25466350,1037375,215.0,4.246494,12429200,1307575,271.0,11.75705,14402625,4400400,912.0,43.994211,102.11,102.64,3.365314,34.05,0.007262,0.015634,0.005426,None,None,Strong. Price Close Above VWAP.
BATAINDIA,375,3175875,-99750,-266.0,-3.04522,1187625,-22875,-61.0,-1.889715,1789500,85125,227.0,4.994499,1392.5,1397.0,-3.721311,24.95,0.016074,0.017665,0.002855,None,None,Strong. Price Close Above VWAP.
BEL,2850,113988600,-595650,-209.0,-0.519836,27143400,798000,280.0,3.028992,39609300,1550400,544.0,4.073686,292.88,293.9,1.942857,38.91,0.002558,0.012575,0.002376,None,None,Strong. Price Close Above VWAP.
BERGEPAINT,1320,9740280,50160,38.0,0.517641,2501400,554400,420.0,28.474576,3129720,828960,628.0,36.029834,455.75,458.15,1.495238,26.3,0.021402,0.025173,0.003372,None,Possible Buy,Strong. Price Close Above VWAP.
BHARATFORG,500,11488000,-35500,-71.0,-0.308066,1523000,81000,162.0,5.617198,2082500,145000,290.0,7.483871,1297.07,1299.9,1.790123,51.48,0.000308,0.009122,0.003641,None,None,Strong. Price Close Above VWAP.
BHARTIARTL,475,44673750,-410875,-865.0,-0.911342,5050200,584725,1231.0,13.094352,8868725,1172775,2469.0,15.238859,1594.42,1595.7,2.005686,43.75,0.005007,0.007355,0.006754,None,None,Strong. Price Close Above VWAP.
BHEL,2625,88265625,-658875,-251.0,-0.740938,20934375,1748250,666.0,9.112054,25441500,262500,100.0,1.042535,231.2,233.23,0.15015,32.93,0.016696,0.025953,0.003716,None,Possible Buy,Strong. Price Close Above VWAP.
BIOCON,2500,30315000,272500,109.0,0.907048,7780000,642500,257.0,9.001751,12757500,1650000,660.0,14.854828,367.49,368.8,2.568093,32.2,0.009443,0.016818,0.004185,Possible Sell,None,Strong. Price Close Above VWAP.
BOSCHLTD,25,245675,2000,80.0,0.820765,47100,825,33.0,1.78282,44700,18475,739.0,70.448046,33979.46,34032.55,22.393939,39.32,-0.001984,0.00807,0.007398,Possible Sell,None,Strong. Price Close Above VWAP.
BPCL,1800,53501400,-1056600,-587.0,-1.936655,15643800,963000,535.0,6.559588,28006200,3025800,1681.0,12.112696,293.52,295.3,3.142056,31.37,0.009745,0.017224,0.002028,Possible Sell,None,Strong. Price Close Above VWAP.
BRITANNIA,100,2590700,-6500,-65.0,-0.25027,718200,-25200,-252.0,-3.389831,860100,3400,34.0,0.396872,4796.45,4794.75,-0.134921,42.3,0.006719,0.008954,0.005177,None,None,Weak. Price Close Below VWAP.
BSE,125,2409625,125,1.0,0.005188,997625,34375,275.0,3.568648,1658250,-17000,-136.0,-1.014774,5388.76,5426.0,-0.494545,26.77,0.018891,0.024547,0.002317,None,Possible Buy,Strong. Price Close Above VWAP.
