SYMBOL,DATE,qnty_per_trade,avg_qnty_per_trade,deliv_qty,avg_deliv_qty,trade_qty_deviation,delivery_qty_deviation,F&O,NIFTY_500,ROC_RS_7,ROC_RS_14,AD_Count,DD_Count,NA_Count,vwap_positive_7days,vwap_negative_7days,vwap_positive_14days,vwap_negative_14days
20MICRONS,2025-01-17,40,57.0,36960,84718.0,-29.0,-56.0,N,N,,,4,7,14,2,11,2,11
360ONE,2025-01-17,11,13.0,153251,259428.0,-16.0,-40.0,N,Y,,,5,3,17,18,10,47,40
3IINFOLTD,2025-01-17,164,226.0,146866,1016374.0,-27.0,-85.0,N,N,,,3,5,17,2,26,26,61
3MINDIA,2025-01-17,1,2.0,1655,2332.0,-6.0,-29.0,N,Y,,,4,7,14,2,26,23,64
5PAISA,2025-01-17,13,11.0,16280,13787.0,22.0,18.0,N,N,,,1,10,14,5,23,34,53
63MOONS,2025-01-17,33,66.0,54247,178867.0,-49.0,-69.0,N,N,,,5,7,13,3,25,41,46
AAATECH,2025-01-17,23,27.0,4754,10550.0,-13.0,-54.0,N,N,,,2,10,13,5,23,20,67
AADHARHFC,2025-01-17,48,26.0,686818,158719.0,82.0,332.0,N,Y,,,5,1,19,0,28,14,73
AAKASH,2025-01-17,518,173.0,321477,70957.0,199.0,353.0,N,N,,,4,10,11,1,25,20,48
AARON,2025-01-17,7,12.0,1923,7569.0,-44.0,-74.0,N,N,,,3,9,13,4,24,35,52
AARTIDRUGS,2025-01-17,10,11.0,55483,52496.0,-2.0,5.0,N,N,,,3,7,15,2,26,8,79
AARTIIND,2025-01-17,44,48.0,500869,639168.0,-8.0,-21.0,Y,Y,,,4,6,15,20,8,52,35
AARTIPHARM,2025-01-17,15,17.0,79576,168971.0,-11.0,-52.0,N,N,,,7,3,15,17,11,29,58
AARTISURF,2025-01-17,6,11.0,2011,5302.0,-47.0,-62.0,N,N,,,6,5,14,1,27,17,70
AARVI,2025-01-17,18,28.0,1972,5438.0,-35.0,-63.0,N,N,,,0,6,19,4,24,33,54
AAVAS,2025-01-17,18,13.0,106206,101458.0,33.0,4.0,N,Y,,,3,4,18,18,10,65,22
ABAN,2025-01-17,38,37.0,18747,34275.0,1.0,-45.0,N,N,,,2,8,15,4,24,36,51
ABB,2025-01-17,7,6.0,184507,96233.0,15.0,91.0,Y,Y,,,3,9,13,7,21,51,36
ABBOTINDIA,2025-01-17,2,1.0,5572,3142.0,42.0,77.0,Y,Y,,,5,8,12,20,8,43,44
ABCAPITAL,2025-01-17,93,82.0,693167,1206409.0,12.0,-42.0,Y,Y,,,3,8,14,5,23,42,45
ABDL,2025-01-17,37,47.0,148610,278589.0,-21.0,-46.0,N,N,,,6,5,14,5,23,41,46
ABFRL,2025-01-17,154,106.0,1403349,909530.0,44.0,54.0,Y,Y,,,2,8,15,19,9,63,24
ABGSEC,2025-01-17,3,118.0,11,1220.0,-96.0,-99.0,N,N,,,3,5,17,14,13,28,51
ABINFRA,2025-01-17,68,86.0,51100,19231.0,-20.0,165.0,N,N,,,7,5,13,9,4,9,4
ABREL,2025-01-17,7,7.0,41467,100341.0,7.0,-58.0,N,Y,,,2,11,12,4,24,16,71
ABSLAMC,2025-01-17,10,11.0,47306,179612.0,-10.0,-73.0,N,Y,,,4,4,17,6,22,18,69
ABSLBANETF,2025-01-17,87,469.0,38433,280857.0,-81.0,-86.0,N,N,,,7,8,10,19,8,34,45
ABSLLIQUID,2025-01-17,1666,175.0,137786,7150.0,849.0,1826.0,N,N,,,0,0,25,15,2,18,29
ABSLNN50ET,2025-01-17,15,41.0,9162,16798.0,-63.0,-45.0,N,N,,,2,8,15,5,23,44,43
ABSLPSE,2025-01-17,333,825.0,149187,493650.0,-59.0,-69.0,N,N,,,3,8,14,5,23,44,34
ACC,2025-01-17,14,11.0,155708,134329.0,21.0,15.0,Y,Y,,,3,9,13,18,10,52,35
ACCELYA,2025-01-17,5,11.0,3287,16562.0,-48.0,-80.0,N,N,,,4,6,15,4,24,33,54
ACCURACY,2025-01-17,189,275.0,73600,264220.0,-31.0,-72.0,N,N,,,1,6,18,15,13,18,69
ACE,2025-01-17,8,11.0,34448,129800.0,-27.0,-73.0,N,Y,,,6,6,13,4,24,21,66
ACEINTEG,2025-01-17,31,37.0,3999,6426.0,-18.0,-37.0,N,N,,,2,7,16,4,24,14,73
ACI,2025-01-17,16,12.0,61436,51697.0,24.0,18.0,N,Y,,,3,9,13,0,28,50,37
ACL,2025-01-17,17,32.0,6347,16216.0,-44.0,-60.0,N,N,,,4,2,19,6,22,45,42
ACLGATI,2025-01-17,64,66.0,102752,160974.0,-2.0,-36.0,N,N,,,3,10,12,5,23,26,61
ACMESOLAR,2025-01-17,24,48.0,543505,296763.0,-49.0,83.0,N,N,,,6,6,13,17,11,50,37
ADANIENSOL,2025-01-17,29,25.0,794030,478428.0,14.0,65.0,Y,Y,,,4,6,15,3,25,22,65
ADANIENT,2025-01-17,15,16.0,266304,451611.0,-5.0,-41.0,Y,Y,,,6,6,13,2,26,22,65
