TICKER,NSE CODE,GOOGLE CODE,LAST PRICE,ATM STRIKE,ATM CE VALUE,ATM PE VALUE,UPPER BAND CONS,LOWER BAND CONS,COMBINED PREMIUM,% PREMIUM
Aarti Industries Limited (XNSE:AARTIIND),AARTIIND,NSE:AARTIIND,421.65,420.0,13.25,11.35,444.6,395.4,24.6,5.83%
ABB India Limited (XNSE:ABB),ABB,NSE:ABB,6822.75,6800.0,211.55,187.35,7198.9,6401.1,398.9,5.85%
Abbott India Limited (XNSE:ABBOTINDIA),ABBOTINDIA,NSE:ABBOTINDIA,29656.25,29750.0,734.4,781.15,31265.55,28234.45,1515.55,5.11%
Aditya Birla Capital Limited (XNSE:ABCAPITAL),ABCAPITAL,NSE:ABCAPITAL,185.69,185.0,5.55,4.85,195.4,174.6,10.4,5.6%
Aditya Birla Fashion and Retail Limited (XNSE:ABFRL),ABFRL,NSE:ABFRL,281.35,280.0,9.5,8.2,297.7,262.3,17.7,6.29%
ACC Limited (XNSE:ACC),ACC,NSE:ACC,2061.2,2060.0,61.85,58.2,2180.05,1939.95,120.05,5.82%
Adani Energy Solutions Limited (XNSE:ADANIENSOL),ADANIENSOL,NSE:ADANIENSOL,824.6,820.0,35.9,31.5,887.4,752.6,67.4,8.17%
Adani Enterprises Limited (XNSE:ADANIENT),ADANIENT,NSE:ADANIENT,2579.05,2580.0,86.25,85.15,2751.4,2408.6,171.4,6.65%
Adani Green Energy Limited (XNSE:ADANIGREEN),ADANIGREEN,NSE:ADANIGREEN,1039.7,1040.0,54.5,54.1,1148.6,931.4,108.6,10.45%
Adani Ports and Special Economic Zone Limited (XNSE:ADANIPORTS),ADANIPORTS,NSE:ADANIPORTS,1204.25,1200.0,40.85,35.7,1276.55,1123.45,76.55,6.36%
Alkem Laboratories Limited (XNSE:ALKEM),ALKEM,NSE:ALKEM,5522.55,5500.0,151.6,128.85,5780.45,5219.55,280.45,5.08%
Ambuja Cements Limited (XNSE:AMBUJACEM),AMBUJACEM,NSE:AMBUJACEM,551.05,550.0,15.7,14.35,580.05,519.95,30.05,5.45%
Angel One Limited (XNSE:ANGELONE),ANGELONE,NSE:ANGELONE,2817.45,2800.0,156.85,139.5,3096.35,2503.65,296.35,10.52%
APL Apollo Tubes Limited (XNSE:APLAPOLLO),APLAPOLLO,NSE:APLAPOLLO,1624.5,1620.0,52.75,47.1,1719.85,1520.15,99.85,6.15%
Apollo Hospitals Enterprise Limited (XNSE:APOLLOHOSP),APOLLOHOSP,NSE:APOLLOHOSP,7328.75,7350.0,148.8,167.2,7666.0,7034.0,316.0,4.31%
Apollo Tyres Limited (XNSE:APOLLOTYRE),APOLLOTYRE,NSE:APOLLOTYRE,512.45,510.0,15.65,13.2,538.85,481.15,28.85,5.63%
Ashok Leyland Limited (XNSE:ASHOKLEY),ASHOKLEY,NSE:ASHOKLEY,235.49,235.0,6.35,5.75,247.1,222.9,12.1,5.14%
Asian Paints Limited (XNSE:ASIANPAINT),ASIANPAINT,NSE:ASIANPAINT,2344.65,2340.0,56.95,52.25,2449.2,2230.8,109.2,4.66%
