TICKER,NSE CODE,GOOGLE CODE,LAST PRICE,ATM STRIKE,ATM CE VALUE,ATM PE VALUE,UPPER BAND CONS,LOWER BAND CONS,COMBINED PREMIUM,% PREMIUM
Aarti Industries Limited (XNSE:AARTIIND),AARTIIND,NSE:AARTIIND,414.1,415.0,12.05,12.65,439.7,390.3,24.7,5.96%
ABB India Limited (XNSE:ABB),ABB,NSE:ABB,6903.05,6900.0,214.5,210.35,7324.85,6475.15,424.85,6.15%
Abbott India Limited (XNSE:ABBOTINDIA),ABBOTINDIA,NSE:ABBOTINDIA,29490.85,29500.0,841.7,830.95,31172.65,27827.35,1672.65,5.67%
Aditya Birla Capital Limited (XNSE:ABCAPITAL),ABCAPITAL,NSE:ABCAPITAL,184.46,185.0,5.2,5.6,195.8,174.2,10.8,5.85%
Aditya Birla Fashion and Retail Limited (XNSE:ABFRL),ABFRL,NSE:ABFRL,284.3,285.0,8.55,9.05,302.6,267.4,17.6,6.19%
ACC Limited (XNSE:ACC),ACC,NSE:ACC,2080.95,2080.0,60.35,58.85,2199.2,1960.8,119.2,5.73%
Adani Energy Solutions Limited (XNSE:ADANIENSOL),ADANIENSOL,NSE:ADANIENSOL,810.8,820.0,34.9,42.3,897.2,742.8,77.2,9.52%
Adani Enterprises Limited (XNSE:ADANIENT),ADANIENT,NSE:ADANIENT,2423.85,2420.0,92.35,87.15,2599.5,2240.5,179.5,7.41%
Adani Green Energy Limited (XNSE:ADANIGREEN),ADANIGREEN,NSE:ADANIGREEN,1060.1,1060.0,63.25,62.6,1185.85,934.15,125.85,11.87%
Adani Ports and Special Economic Zone Limited (XNSE:ADANIPORTS),ADANIPORTS,NSE:ADANIPORTS,1240.4,1240.0,38.1,36.7,1314.8,1165.2,74.8,6.03%
Alkem Laboratories Limited (XNSE:ALKEM),ALKEM,NSE:ALKEM,5504.25,5500.0,150.45,140.85,5791.3,5208.7,291.3,5.29%
Ambuja Cements Limited (XNSE:AMBUJACEM),AMBUJACEM,NSE:AMBUJACEM,551.1,550.0,16.55,15.0,581.55,518.45,31.55,5.72%
Angel One Limited (XNSE:ANGELONE),ANGELONE,NSE:ANGELONE,2903.2,2900.0,141.0,138.45,3179.45,2620.55,279.45,9.63%
APL Apollo Tubes Limited (XNSE:APLAPOLLO),APLAPOLLO,NSE:APLAPOLLO,1524.6,1520.0,47.4,42.5,1609.9,1430.1,89.9,5.9%
Apollo Hospitals Enterprise Limited (XNSE:APOLLOHOSP),APOLLOHOSP,NSE:APOLLOHOSP,7302.65,7300.0,160.55,157.65,7618.2,6981.8,318.2,4.36%
Apollo Tyres Limited (XNSE:APOLLOTYRE),APOLLOTYRE,NSE:APOLLOTYRE,530.6,530.0,15.05,14.15,559.2,500.8,29.2,5.5%
Ashok Leyland Limited (XNSE:ASHOKLEY),ASHOKLEY,NSE:ASHOKLEY,221.88,222.5,5.8,6.2,234.5,210.5,12.0,5.41%
Asian Paints Limited (XNSE:ASIANPAINT),ASIANPAINT,NSE:ASIANPAINT,2282.85,2280.0,59.4,55.6,2395.0,2165.0,115.0,5.04%
